CODLOC,sexo,tramo,personas,sexo_label,tramo_label
10521,2,15-19,82,mujeres,15-19
10521,2,20-24,49,mujeres,20-24
10521,2,25-29,72,mujeres,25-29
10521,2,30-34,84,mujeres,30-34
10521,2,35-39,70,mujeres,35-39
10521,2,40-44,62,mujeres,40-44
10521,2,45-49,104,mujeres,45-49
10521,2,50-54,80,mujeres,50-54
10521,2,55-59,59,mujeres,55-59
10521,2,60-64,61,mujeres,60-64
10521,2,65-69,76,mujeres,65-69
10521,2,70-74,65,mujeres,70-74
10521,2,75-79,71,mujeres,75-79
10521,2,80-84,54,mujeres,80-84
10521,2,85-89,42,mujeres,85-89
10521,2,90-94,12,mujeres,90-94
10521,2,+95,5,mujeres,+95
10522,1,0-4,186,varones,0-4
10522,1,5-9,224,varones,5-9
10522,1,10-14,315,varones,10-14
10522,1,15-19,308,varones,15-19
10522,1,20-24,244,varones,20-24
10522,1,25-29,217,varones,25-29
10522,1,30-34,218,varones,30-34
10522,1,35-39,221,varones,35-39
10522,1,40-44,193,varones,40-44
10522,1,45-49,193,varones,45-49
10522,1,50-54,180,varones,50-54
10522,1,55-59,145,varones,55-59
10522,1,60-64,130,varones,60-64
10522,1,65-69,127,varones,65-69
10522,1,70-74,98,varones,70-74
10522,1,75-79,78,varones,75-79
10522,1,80-84,58,varones,80-84
10522,1,85-89,24,varones,85-89
10522,1,90-94,11,varones,90-94
10522,1,+95,0,varones,+95
10522,2,0-4,207,mujeres,0-4
10522,2,5-9,250,mujeres,5-9
10522,2,10-14,270,mujeres,10-14
10522,2,15-19,294,mujeres,15-19
10522,2,20-24,221,mujeres,20-24
10522,2,25-29,203,mujeres,25-29
10522,2,30-34,226,mujeres,30-34
10522,2,35-39,205,mujeres,35-39
10522,2,40-44,203,mujeres,40-44
10522,2,45-49,238,mujeres,45-49
10522,2,50-54,184,mujeres,50-54
10522,2,55-59,178,mujeres,55-59
10522,2,60-64,149,mujeres,60-64
10522,2,65-69,166,mujeres,65-69
10522,2,70-74,138,mujeres,70-74
10522,2,75-79,117,mujeres,75-79
10522,2,80-84,93,mujeres,80-84
10522,2,85-89,55,mujeres,85-89
10522,2,90-94,24,mujeres,90-94
10522,2,+95,6,mujeres,+95
10523,1,0-4,287,varones,0-4
10523,1,5-9,303,varones,5-9
10523,1,10-14,310,varones,10-14
10523,1,15-19,331,varones,15-19
10523,1,20-24,264,varones,20-24
10523,1,25-29,276,varones,25-29
10523,1,30-34,279,varones,30-34
10523,1,35-39,289,varones,35-39
10523,1,40-44,267,varones,40-44
10523,1,45-49,251,varones,45-49
10523,1,50-54,268,varones,50-54
10523,1,55-59,220,varones,55-59
10523,1,60-64,216,varones,60-64
10523,1,65-69,209,varones,65-69
10523,1,70-74,175,varones,70-74
10523,1,75-79,144,varones,75-79
10523,1,80-84,100,varones,80-84
10523,1,85-89,37,varones,85-89
10523,1,90-94,12,varones,90-94
10523,1,+95,0,varones,+95
10523,2,0-4,237,mujeres,0-4
10523,2,5-9,318,mujeres,5-9
10523,2,10-14,340,mujeres,10-14
10523,2,15-19,302,mujeres,15-19
10523,2,20-24,264,mujeres,20-24
10523,2,25-29,245,mujeres,25-29
10523,2,30-34,308,mujeres,30-34
10523,2,35-39,306,mujeres,35-39
10523,2,40-44,234,mujeres,40-44
10523,2,45-49,309,mujeres,45-49
10523,2,50-54,278,mujeres,50-54
10523,2,55-59,269,mujeres,55-59
10523,2,60-64,259,mujeres,60-64
10523,2,65-69,287,mujeres,65-69
10523,2,70-74,222,mujeres,70-74
10523,2,75-79,187,mujeres,75-79
10523,2,80-84,127,mujeres,80-84
10523,2,85-89,55,mujeres,85-89
10523,2,90-94,30,mujeres,90-94
10523,2,+95,15,mujeres,+95
10524,1,0-4,232,varones,0-4
10524,1,5-9,281,varones,5-9
10524,1,10-14,302,varones,10-14
10524,1,15-19,283,varones,15-19
10524,1,20-24,228,varones,20-24
10524,1,25-29,280,varones,25-29
10524,1,30-34,297,varones,30-34
10524,1,35-39,337,varones,35-39
10524,1,40-44,318,varones,40-44
10524,1,45-49,327,varones,45-49
10524,1,50-54,288,varones,50-54
10524,1,55-59,273,varones,55-59
10524,1,60-64,264,varones,60-64
10524,1,65-69,234,varones,65-69
10524,1,70-74,191,varones,70-74
10524,1,75-79,132,varones,75-79
10524,1,80-84,95,varones,80-84
10524,1,85-89,31,varones,85-89
10524,1,90-94,10,varones,90-94
10524,1,+95,3,varones,+95
10524,2,0-4,228,mujeres,0-4
10524,2,5-9,254,mujeres,5-9
10524,2,10-14,272,mujeres,10-14
10524,2,15-19,243,mujeres,15-19
10524,2,20-24,257,mujeres,20-24
10524,2,25-29,247,mujeres,25-29
10524,2,30-34,365,mujeres,30-34
10524,2,35-39,395,mujeres,35-39
10524,2,40-44,377,mujeres,40-44
10524,2,45-49,338,mujeres,45-49
10524,2,50-54,358,mujeres,50-54
10524,2,55-59,340,mujeres,55-59
10524,2,60-64,268,mujeres,60-64
10524,2,65-69,273,mujeres,65-69
10524,2,70-74,251,mujeres,70-74
10524,2,75-79,164,mujeres,75-79
10524,2,80-84,128,mujeres,80-84
10524,2,85-89,66,mujeres,85-89
10524,2,90-94,40,mujeres,90-94
10524,2,+95,7,mujeres,+95
10821,1,0-4,314,varones,0-4
10821,1,5-9,378,varones,5-9
10821,1,10-14,494,varones,10-14
10821,1,15-19,473,varones,15-19
10821,1,20-24,363,varones,20-24
10821,1,25-29,307,varones,25-29
10821,1,30-34,275,varones,30-34
10821,1,35-39,301,varones,35-39
10821,1,40-44,293,varones,40-44
10821,1,45-49,249,varones,45-49
10821,1,50-54,205,varones,50-54
10821,1,55-59,162,varones,55-59
10821,1,60-64,87,varones,60-64
10821,1,65-69,65,varones,65-69
10821,1,70-74,59,varones,70-74
10821,1,75-79,29,varones,75-79
10821,1,80-84,13,varones,80-84
10821,1,85-89,2,varones,85-89
10821,1,90-94,1,varones,90-94
10821,1,+95,0,varones,+95
10821,2,0-4,306,mujeres,0-4
10821,2,5-9,401,mujeres,5-9
10821,2,10-14,416,mujeres,10-14
10821,2,15-19,440,mujeres,15-19
10821,2,20-24,313,mujeres,20-24
10821,2,25-29,269,mujeres,25-29
10821,2,30-34,294,mujeres,30-34
10821,2,35-39,313,mujeres,35-39
10821,2,40-44,314,mujeres,40-44
10821,2,45-49,264,mujeres,45-49
10821,2,50-54,238,mujeres,50-54
10821,2,55-59,178,mujeres,55-59
10821,2,60-64,109,mujeres,60-64
10821,2,65-69,85,mujeres,65-69
10821,2,70-74,74,mujeres,70-74
10821,2,75-79,52,mujeres,75-79
10821,2,80-84,25,mujeres,80-84
10821,2,85-89,7,mujeres,85-89
10821,2,90-94,6,mujeres,90-94
10821,2,+95,3,mujeres,+95
10822,1,0-4,11,varones,0-4
10822,1,5-9,7,varones,5-9
10822,1,10-14,10,varones,10-14
10822,1,15-19,9,varones,15-19
10822,1,20-24,2,varones,20-24
10822,1,25-29,6,varones,25-29
10822,1,30-34,5,varones,30-34
10822,1,35-39,3,varones,35-39
10822,1,40-44,10,varones,40-44
10822,1,45-49,6,varones,45-49
10822,1,50-54,6,varones,50-54
10822,1,55-59,3,varones,55-59
10822,1,60-64,1,varones,60-64
10822,1,65-69,3,varones,65-69
10822,1,70-74,4,varones,70-74
10822,1,75-79,7,varones,75-79
10822,1,80-84,1,varones,80-84
10822,1,85-89,2,varones,85-89
10822,1,90-94,0,varones,90-94
10822,1,+95,0,varones,+95
10822,2,0-4,8,mujeres,0-4
10822,2,5-9,13,mujeres,5-9
10822,2,10-14,9,mujeres,10-14
10822,2,15-19,7,mujeres,15-19
10822,2,20-24,7,mujeres,20-24
10822,2,25-29,6,mujeres,25-29
10822,2,30-34,5,mujeres,30-34
10822,2,35-39,8,mujeres,35-39
10822,2,40-44,7,mujeres,40-44
10822,2,45-49,9,mujeres,45-49
10822,2,50-54,4,mujeres,50-54
10822,2,55-59,1,mujeres,55-59
10822,2,60-64,3,mujeres,60-64
10822,2,65-69,5,mujeres,65-69
10822,2,70-74,7,mujeres,70-74
10822,2,75-79,2,mujeres,75-79
10822,2,80-84,1,mujeres,80-84
10822,2,85-89,0,mujeres,85-89
10822,2,90-94,0,mujeres,90-94
10822,2,+95,0,mujeres,+95
10823,1,0-4,40,varones,0-4
10823,1,5-9,27,varones,5-9
10823,1,10-14,30,varones,10-14
10823,1,15-19,38,varones,15-19
10823,1,20-24,27,varones,20-24
10823,1,25-29,19,varones,25-29
10823,1,30-34,19,varones,30-34
10823,1,35-39,27,varones,35-39
10823,1,40-44,30,varones,40-44
10823,1,45-49,28,varones,45-49
10823,1,50-54,15,varones,50-54
10823,1,55-59,8,varones,55-59
10823,1,60-64,4,varones,60-64
10823,1,65-69,10,varones,65-69
10823,1,70-74,8,varones,70-74
10823,1,75-79,3,varones,75-79
10823,1,80-84,1,varones,80-84
10823,1,85-89,0,varones,85-89
10823,1,90-94,0,varones,90-94
10823,1,+95,0,varones,+95
10823,2,0-4,24,mujeres,0-4
10823,2,5-9,42,mujeres,5-9
10823,2,10-14,48,mujeres,10-14
10823,2,15-19,37,mujeres,15-19
10823,2,20-24,24,mujeres,20-24
10823,2,25-29,21,mujeres,25-29
10823,2,30-34,21,mujeres,30-34
10823,2,35-39,22,mujeres,35-39
10823,2,40-44,29,mujeres,40-44
10823,2,45-49,20,mujeres,45-49
10823,2,50-54,12,mujeres,50-54
10823,2,55-59,13,mujeres,55-59
10823,2,60-64,11,mujeres,60-64
10823,2,65-69,5,mujeres,65-69
10823,2,70-74,8,mujeres,70-74
10823,2,75-79,4,mujeres,75-79
10823,2,80-84,1,mujeres,80-84
10823,2,85-89,2,mujeres,85-89
10823,2,90-94,1,mujeres,90-94
10823,2,+95,0,mujeres,+95
10825,1,0-4,11,varones,0-4
10825,1,5-9,20,varones,5-9
10825,1,10-14,23,varones,10-14
10825,1,15-19,18,varones,15-19
10825,1,20-24,14,varones,20-24
10825,1,25-29,10,varones,25-29
10825,1,30-34,14,varones,30-34
10825,1,35-39,10,varones,35-39
10825,1,40-44,11,varones,40-44
10825,1,45-49,10,varones,45-49
10825,1,50-54,9,varones,50-54
10825,1,55-59,6,varones,55-59
10825,1,60-64,9,varones,60-64
10825,1,65-69,9,varones,65-69
10825,1,70-74,8,varones,70-74
10825,1,75-79,4,varones,75-79
10825,1,80-84,5,varones,80-84
10825,1,85-89,2,varones,85-89
10825,1,90-94,0,varones,90-94
10825,1,+95,1,varones,+95
10825,2,0-4,16,mujeres,0-4
10825,2,5-9,17,mujeres,5-9
10825,2,10-14,19,mujeres,10-14
10825,2,15-19,17,mujeres,15-19
10825,2,20-24,16,mujeres,20-24
10825,2,25-29,7,mujeres,25-29
10825,2,30-34,20,mujeres,30-34
10825,2,35-39,11,mujeres,35-39
10825,2,40-44,8,mujeres,40-44
10825,2,45-49,14,mujeres,45-49
10825,2,50-54,10,mujeres,50-54
10825,2,55-59,10,mujeres,55-59
10825,2,60-64,11,mujeres,60-64
10825,2,65-69,5,mujeres,65-69
10825,2,70-74,4,mujeres,70-74
10825,2,75-79,10,mujeres,75-79
10825,2,80-84,7,mujeres,80-84
10825,2,85-89,0,mujeres,85-89
10825,2,90-94,1,mujeres,90-94
10825,2,+95,0,mujeres,+95
10826,1,0-4,4,varones,0-4
10826,1,5-9,5,varones,5-9
10826,1,10-14,6,varones,10-14
10826,1,15-19,3,varones,15-19
10826,1,20-24,3,varones,20-24
10826,1,25-29,2,varones,25-29
10826,1,30-34,4,varones,30-34
10826,1,35-39,3,varones,35-39
10826,1,40-44,5,varones,40-44
10826,1,45-49,2,varones,45-49
10826,1,50-54,7,varones,50-54
10826,1,55-59,5,varones,55-59
10826,1,60-64,4,varones,60-64
10826,1,65-69,2,varones,65-69
10826,1,70-74,4,varones,70-74
10826,1,75-79,1,varones,75-79
10826,1,80-84,2,varones,80-84
10826,1,85-89,0,varones,85-89
10826,1,90-94,2,varones,90-94
10826,1,+95,1,varones,+95
10826,2,0-4,6,mujeres,0-4
10826,2,5-9,2,mujeres,5-9
10826,2,10-14,5,mujeres,10-14
10826,2,15-19,3,mujeres,15-19
10826,2,20-24,3,mujeres,20-24
10826,2,25-29,3,mujeres,25-29
10826,2,30-34,1,mujeres,30-34
10826,2,35-39,7,mujeres,35-39
10826,2,40-44,0,mujeres,40-44
10826,2,45-49,3,mujeres,45-49
10826,2,50-54,6,mujeres,50-54
10826,2,55-59,0,mujeres,55-59
10826,2,60-64,4,mujeres,60-64
10826,2,65-69,5,mujeres,65-69
10826,2,70-74,1,mujeres,70-74
10826,2,75-79,4,mujeres,75-79
10826,2,80-84,4,mujeres,80-84
10826,2,85-89,1,mujeres,85-89
10826,2,90-94,1,mujeres,90-94
10826,2,+95,0,mujeres,+95
10827,1,0-4,6,varones,0-4
10827,1,5-9,9,varones,5-9
10827,1,10-14,8,varones,10-14
10827,1,15-19,12,varones,15-19
10827,1,20-24,4,varones,20-24
10827,1,25-29,5,varones,25-29
10827,1,30-34,2,varones,30-34
10827,1,35-39,4,varones,35-39
10827,1,40-44,8,varones,40-44
10827,1,45-49,9,varones,45-49
10827,1,50-54,4,varones,50-54
10827,1,55-59,2,varones,55-59
10827,1,60-64,6,varones,60-64
10827,1,65-69,2,varones,65-69
10827,1,70-74,1,varones,70-74
10827,1,75-79,4,varones,75-79
10827,1,80-84,3,varones,80-84
10827,1,85-89,1,varones,85-89
10827,1,90-94,0,varones,90-94
10827,1,+95,0,varones,+95
10827,2,0-4,4,mujeres,0-4
10827,2,5-9,4,mujeres,5-9
10827,2,10-14,6,mujeres,10-14
10827,2,15-19,7,mujeres,15-19
10827,2,20-24,5,mujeres,20-24
10827,2,25-29,6,mujeres,25-29
10827,2,30-34,3,mujeres,30-34
10827,2,35-39,4,mujeres,35-39
10827,2,40-44,5,mujeres,40-44
10827,2,45-49,6,mujeres,45-49
10827,2,50-54,5,mujeres,50-54
10827,2,55-59,1,mujeres,55-59
10827,2,60-64,1,mujeres,60-64
10827,2,65-69,2,mujeres,65-69
10827,2,70-74,3,mujeres,70-74
10827,2,75-79,1,mujeres,75-79
10827,2,80-84,3,mujeres,80-84
10827,2,85-89,0,mujeres,85-89
10827,2,90-94,0,mujeres,90-94
10827,2,+95,0,mujeres,+95
10828,1,0-4,10,varones,0-4
10828,1,5-9,8,varones,5-9
10828,1,10-14,9,varones,10-14
10828,1,15-19,9,varones,15-19
10828,1,20-24,3,varones,20-24
10828,1,25-29,7,varones,25-29
10828,1,30-34,17,varones,30-34
10828,1,35-39,8,varones,35-39
10828,1,40-44,5,varones,40-44
10828,1,45-49,6,varones,45-49
10828,1,50-54,8,varones,50-54
10828,1,55-59,7,varones,55-59
10828,1,60-64,9,varones,60-64
10828,1,65-69,15,varones,65-69
10828,1,70-74,8,varones,70-74
10828,1,75-79,7,varones,75-79
10828,1,80-84,4,varones,80-84
10828,1,85-89,2,varones,85-89
10828,1,90-94,0,varones,90-94
10828,1,+95,0,varones,+95
10828,2,0-4,7,mujeres,0-4
10828,2,5-9,9,mujeres,5-9
10828,2,10-14,7,mujeres,10-14
10828,2,15-19,8,mujeres,15-19
10828,2,20-24,8,mujeres,20-24
10828,2,25-29,9,mujeres,25-29
10828,2,30-34,10,mujeres,30-34
10828,2,35-39,12,mujeres,35-39
10828,2,40-44,7,mujeres,40-44
10828,2,45-49,6,mujeres,45-49
10828,2,50-54,5,mujeres,50-54
10828,2,55-59,9,mujeres,55-59
10828,2,60-64,12,mujeres,60-64
10828,2,65-69,8,mujeres,65-69
10828,2,70-74,10,mujeres,70-74
10828,2,75-79,7,mujeres,75-79
10828,2,80-84,6,mujeres,80-84
10828,2,85-89,4,mujeres,85-89
10828,2,90-94,1,mujeres,90-94
10828,2,+95,1,mujeres,+95
10829,1,0-4,3,varones,0-4
10829,1,5-9,0,varones,5-9
10829,1,10-14,2,varones,10-14
10829,1,15-19,1,varones,15-19
10829,1,20-24,4,varones,20-24
10829,1,25-29,2,varones,25-29
10829,1,30-34,1,varones,30-34
10829,1,35-39,3,varones,35-39
10829,1,40-44,2,varones,40-44
10829,1,45-49,2,varones,45-49
10829,1,50-54,1,varones,50-54
10829,1,55-59,1,varones,55-59
10829,1,60-64,2,varones,60-64
10829,1,65-69,3,varones,65-69
10829,1,70-74,0,varones,70-74
10829,1,75-79,0,varones,75-79
10829,1,80-84,1,varones,80-84
10829,1,85-89,0,varones,85-89
10829,1,90-94,0,varones,90-94
10829,1,+95,0,varones,+95
10829,2,0-4,5,mujeres,0-4
10829,2,5-9,2,mujeres,5-9
10829,2,10-14,2,mujeres,10-14
10829,2,15-19,4,mujeres,15-19
10829,2,20-24,3,mujeres,20-24
10829,2,25-29,0,mujeres,25-29
10829,2,30-34,4,mujeres,30-34
10829,2,35-39,2,mujeres,35-39
10829,2,40-44,2,mujeres,40-44
10829,2,45-49,0,mujeres,45-49
10829,2,50-54,3,mujeres,50-54
10829,2,55-59,1,mujeres,55-59
10829,2,60-64,0,mujeres,60-64
10829,2,65-69,0,mujeres,65-69
10829,2,70-74,2,mujeres,70-74
10829,2,75-79,1,mujeres,75-79
10829,2,80-84,1,mujeres,80-84
10829,2,85-89,0,mujeres,85-89
10829,2,90-94,1,mujeres,90-94
10829,2,+95,0,mujeres,+95
10830,1,0-4,289,varones,0-4
10830,1,5-9,369,varones,5-9
10830,1,10-14,402,varones,10-14
10830,1,15-19,351,varones,15-19
10830,1,20-24,299,varones,20-24
