CODLOC,sexo,tramo,personas,sexo_label,tramo_label
14966,2,80-84,0,mujeres,80-84
14966,2,85-89,0,mujeres,85-89
14966,2,90-94,0,mujeres,90-94
14966,2,+95,0,mujeres,+95
14967,1,0-4,1,varones,0-4
14967,1,5-9,0,varones,5-9
14967,1,10-14,0,varones,10-14
14967,1,15-19,0,varones,15-19
14967,1,20-24,0,varones,20-24
14967,1,25-29,0,varones,25-29
14967,1,30-34,1,varones,30-34
14967,1,35-39,0,varones,35-39
14967,1,40-44,0,varones,40-44
14967,1,45-49,0,varones,45-49
14967,1,50-54,2,varones,50-54
14967,1,55-59,0,varones,55-59
14967,1,60-64,0,varones,60-64
14967,1,65-69,0,varones,65-69
14967,1,70-74,0,varones,70-74
14967,1,75-79,0,varones,75-79
14967,1,80-84,0,varones,80-84
14967,1,85-89,0,varones,85-89
14967,1,90-94,0,varones,90-94
14967,1,+95,0,varones,+95
14967,2,0-4,0,mujeres,0-4
14967,2,5-9,0,mujeres,5-9
14967,2,10-14,2,mujeres,10-14
14967,2,15-19,0,mujeres,15-19
14967,2,20-24,0,mujeres,20-24
14967,2,25-29,0,mujeres,25-29
14967,2,30-34,1,mujeres,30-34
14967,2,35-39,0,mujeres,35-39
14967,2,40-44,1,mujeres,40-44
14967,2,45-49,0,mujeres,45-49
14967,2,50-54,0,mujeres,50-54
14967,2,55-59,0,mujeres,55-59
14967,2,60-64,1,mujeres,60-64
14967,2,65-69,0,mujeres,65-69
14967,2,70-74,0,mujeres,70-74
14967,2,75-79,1,mujeres,75-79
14967,2,80-84,0,mujeres,80-84
14967,2,85-89,0,mujeres,85-89
14967,2,90-94,0,mujeres,90-94
14967,2,+95,0,mujeres,+95
14968,1,0-4,0,varones,0-4
14968,1,5-9,0,varones,5-9
14968,1,10-14,0,varones,10-14
14968,1,15-19,0,varones,15-19
14968,1,20-24,0,varones,20-24
14968,1,25-29,0,varones,25-29
14968,1,30-34,0,varones,30-34
14968,1,35-39,0,varones,35-39
14968,1,40-44,0,varones,40-44
14968,1,45-49,0,varones,45-49
14968,1,50-54,0,varones,50-54
14968,1,55-59,1,varones,55-59
14968,1,60-64,0,varones,60-64
14968,1,65-69,0,varones,65-69
14968,1,70-74,0,varones,70-74
14968,1,75-79,0,varones,75-79
14968,1,80-84,0,varones,80-84
14968,1,85-89,0,varones,85-89
14968,1,90-94,0,varones,90-94
14968,1,+95,0,varones,+95
14968,2,0-4,0,mujeres,0-4
14968,2,5-9,0,mujeres,5-9
14968,2,10-14,0,mujeres,10-14
14968,2,15-19,0,mujeres,15-19
14968,2,20-24,0,mujeres,20-24
14968,2,25-29,0,mujeres,25-29
14968,2,30-34,0,mujeres,30-34
14968,2,35-39,0,mujeres,35-39
14968,2,40-44,0,mujeres,40-44
14968,2,45-49,0,mujeres,45-49
14968,2,50-54,0,mujeres,50-54
14968,2,55-59,1,mujeres,55-59
14968,2,60-64,0,mujeres,60-64
14968,2,65-69,0,mujeres,65-69
14968,2,70-74,0,mujeres,70-74
14968,2,75-79,0,mujeres,75-79
14968,2,80-84,0,mujeres,80-84
14968,2,85-89,0,mujeres,85-89
14968,2,90-94,0,mujeres,90-94
14968,2,+95,0,mujeres,+95
14969,1,0-4,1,varones,0-4
14969,1,5-9,0,varones,5-9
14969,1,10-14,0,varones,10-14
14969,1,15-19,0,varones,15-19
14969,1,20-24,0,varones,20-24
14969,1,25-29,0,varones,25-29
14969,1,30-34,0,varones,30-34
14969,1,35-39,0,varones,35-39
14969,1,40-44,0,varones,40-44
14969,1,45-49,0,varones,45-49
14969,1,50-54,0,varones,50-54
14969,1,55-59,2,varones,55-59
14969,1,60-64,0,varones,60-64
14969,1,65-69,0,varones,65-69
14969,1,70-74,0,varones,70-74
14969,1,75-79,0,varones,75-79
14969,1,80-84,0,varones,80-84
14969,1,85-89,0,varones,85-89
14969,1,90-94,0,varones,90-94
14969,1,+95,0,varones,+95
14969,2,0-4,0,mujeres,0-4
14969,2,5-9,0,mujeres,5-9
14969,2,10-14,0,mujeres,10-14
14969,2,15-19,1,mujeres,15-19
14969,2,20-24,0,mujeres,20-24
14969,2,25-29,0,mujeres,25-29
14969,2,30-34,0,mujeres,30-34
14969,2,35-39,0,mujeres,35-39
14969,2,40-44,0,mujeres,40-44
14969,2,45-49,0,mujeres,45-49
14969,2,50-54,2,mujeres,50-54
14969,2,55-59,0,mujeres,55-59
14969,2,60-64,0,mujeres,60-64
14969,2,65-69,0,mujeres,65-69
14969,2,70-74,0,mujeres,70-74
14969,2,75-79,0,mujeres,75-79
14969,2,80-84,0,mujeres,80-84
14969,2,85-89,0,mujeres,85-89
14969,2,90-94,0,mujeres,90-94
14969,2,+95,0,mujeres,+95
15120,1,0-4,4212,varones,0-4
15120,1,5-9,4322,varones,5-9
15120,1,10-14,5063,varones,10-14
15120,1,15-19,4949,varones,15-19
15120,1,20-24,4101,varones,20-24
15120,1,25-29,3519,varones,25-29
15120,1,30-34,3272,varones,30-34
15120,1,35-39,3119,varones,35-39
15120,1,40-44,2693,varones,40-44
15120,1,45-49,2668,varones,45-49
15120,1,50-54,2546,varones,50-54
15120,1,55-59,2353,varones,55-59
15120,1,60-64,2109,varones,60-64
15120,1,65-69,1784,varones,65-69
15120,1,70-74,1391,varones,70-74
15120,1,75-79,1060,varones,75-79
15120,1,80-84,609,varones,80-84
15120,1,85-89,259,varones,85-89
15120,1,90-94,83,varones,90-94
15120,1,+95,19,varones,+95
15120,2,0-4,3966,mujeres,0-4
15120,2,5-9,4074,mujeres,5-9
15120,2,10-14,4746,mujeres,10-14
15120,2,15-19,4965,mujeres,15-19
15120,2,20-24,4134,mujeres,20-24
15120,2,25-29,3630,mujeres,25-29
15120,2,30-34,3497,mujeres,30-34
15120,2,35-39,3408,mujeres,35-39
15120,2,40-44,2996,mujeres,40-44
15120,2,45-49,2998,mujeres,45-49
15120,2,50-54,2941,mujeres,50-54
15120,2,55-59,2691,mujeres,55-59
15120,2,60-64,2433,mujeres,60-64
15120,2,65-69,2078,mujeres,65-69
15120,2,70-74,1819,mujeres,70-74
15120,2,75-79,1524,mujeres,75-79
15120,2,80-84,1090,mujeres,80-84
15120,2,85-89,571,mujeres,85-89
15120,2,90-94,258,mujeres,90-94
15120,2,+95,61,mujeres,+95
15522,1,0-4,73,varones,0-4
15522,1,5-9,94,varones,5-9
15522,1,10-14,88,varones,10-14
15522,1,15-19,97,varones,15-19
15522,1,20-24,67,varones,20-24
15522,1,25-29,61,varones,25-29
15522,1,30-34,57,varones,30-34
15522,1,35-39,38,varones,35-39
15522,1,40-44,62,varones,40-44
15522,1,45-49,59,varones,45-49
15522,1,50-54,55,varones,50-54
15522,1,55-59,62,varones,55-59
15522,1,60-64,39,varones,60-64
15522,1,65-69,33,varones,65-69
15522,1,70-74,31,varones,70-74
15522,1,75-79,23,varones,75-79
15522,1,80-84,16,varones,80-84
15522,1,85-89,5,varones,85-89
15522,1,90-94,0,varones,90-94
15522,1,+95,1,varones,+95
15522,2,0-4,62,mujeres,0-4
15522,2,5-9,81,mujeres,5-9
15522,2,10-14,104,mujeres,10-14
15522,2,15-19,91,mujeres,15-19
15522,2,20-24,69,mujeres,20-24
15522,2,25-29,71,mujeres,25-29
15522,2,30-34,48,mujeres,30-34
15522,2,35-39,50,mujeres,35-39
15522,2,40-44,50,mujeres,40-44
15522,2,45-49,70,mujeres,45-49
15522,2,50-54,47,mujeres,50-54
15522,2,55-59,55,mujeres,55-59
15522,2,60-64,28,mujeres,60-64
15522,2,65-69,43,mujeres,65-69
15522,2,70-74,27,mujeres,70-74
15522,2,75-79,31,mujeres,75-79
15522,2,80-84,23,mujeres,80-84
15522,2,85-89,9,mujeres,85-89
15522,2,90-94,4,mujeres,90-94
15522,2,+95,2,mujeres,+95
15523,1,0-4,103,varones,0-4
15523,1,5-9,158,varones,5-9
15523,1,10-14,166,varones,10-14
15523,1,15-19,126,varones,15-19
15523,1,20-24,89,varones,20-24
15523,1,25-29,92,varones,25-29
15523,1,30-34,79,varones,30-34
15523,1,35-39,88,varones,35-39
15523,1,40-44,74,varones,40-44
15523,1,45-49,66,varones,45-49
15523,1,50-54,38,varones,50-54
15523,1,55-59,54,varones,55-59
15523,1,60-64,62,varones,60-64
15523,1,65-69,51,varones,65-69
15523,1,70-74,45,varones,70-74
15523,1,75-79,38,varones,75-79
15523,1,80-84,26,varones,80-84
15523,1,85-89,11,varones,85-89
15523,1,90-94,3,varones,90-94
15523,1,+95,1,varones,+95
15523,2,0-4,114,mujeres,0-4
15523,2,5-9,140,mujeres,5-9
15523,2,10-14,156,mujeres,10-14
15523,2,15-19,147,mujeres,15-19
15523,2,20-24,83,mujeres,20-24
15523,2,25-29,92,mujeres,25-29
15523,2,30-34,84,mujeres,30-34
15523,2,35-39,97,mujeres,35-39
15523,2,40-44,80,mujeres,40-44
15523,2,45-49,65,mujeres,45-49
15523,2,50-54,50,mujeres,50-54
15523,2,55-59,55,mujeres,55-59
15523,2,60-64,63,mujeres,60-64
15523,2,65-69,56,mujeres,65-69
15523,2,70-74,54,mujeres,70-74
15523,2,75-79,21,mujeres,75-79
15523,2,80-84,18,mujeres,80-84
15523,2,85-89,14,mujeres,85-89
15523,2,90-94,3,mujeres,90-94
15523,2,+95,0,mujeres,+95
15721,1,0-4,10,varones,0-4
15721,1,5-9,15,varones,5-9
15721,1,10-14,22,varones,10-14
15721,1,15-19,11,varones,15-19
15721,1,20-24,10,varones,20-24
15721,1,25-29,7,varones,25-29
15721,1,30-34,11,varones,30-34
15721,1,35-39,11,varones,35-39
15721,1,40-44,16,varones,40-44
15721,1,45-49,12,varones,45-49
15721,1,50-54,8,varones,50-54
15721,1,55-59,16,varones,55-59
15721,1,60-64,3,varones,60-64
15721,1,65-69,4,varones,65-69
15721,1,70-74,8,varones,70-74
15721,1,75-79,4,varones,75-79
15721,1,80-84,1,varones,80-84
15721,1,85-89,0,varones,85-89
15721,1,90-94,0,varones,90-94
15721,1,+95,0,varones,+95
15721,2,0-4,7,mujeres,0-4
15721,2,5-9,12,mujeres,5-9
15721,2,10-14,14,mujeres,10-14
15721,2,15-19,12,mujeres,15-19
15721,2,20-24,6,mujeres,20-24
15721,2,25-29,6,mujeres,25-29
15721,2,30-34,11,mujeres,30-34
15721,2,35-39,10,mujeres,35-39
15721,2,40-44,15,mujeres,40-44
15721,2,45-49,8,mujeres,45-49
15721,2,50-54,8,mujeres,50-54
15721,2,55-59,4,mujeres,55-59
15721,2,60-64,9,mujeres,60-64
15721,2,65-69,4,mujeres,65-69
15721,2,70-74,4,mujeres,70-74
15721,2,75-79,2,mujeres,75-79
15721,2,80-84,3,mujeres,80-84
15721,2,85-89,1,mujeres,85-89
15721,2,90-94,0,mujeres,90-94
15721,2,+95,0,mujeres,+95
15722,1,0-4,44,varones,0-4
15722,1,5-9,39,varones,5-9
15722,1,10-14,64,varones,10-14
15722,1,15-19,60,varones,15-19
15722,1,20-24,34,varones,20-24
15722,1,25-29,28,varones,25-29
15722,1,30-34,21,varones,30-34
15722,1,35-39,19,varones,35-39
15722,1,40-44,31,varones,40-44
15722,1,45-49,28,varones,45-49
15722,1,50-54,19,varones,50-54
15722,1,55-59,24,varones,55-59
15722,1,60-64,13,varones,60-64
15722,1,65-69,7,varones,65-69
15722,1,70-74,8,varones,70-74
15722,1,75-79,11,varones,75-79
15722,1,80-84,4,varones,80-84
15722,1,85-89,1,varones,85-89
15722,1,90-94,1,varones,90-94
15722,1,+95,0,varones,+95
15722,2,0-4,32,mujeres,0-4
15722,2,5-9,41,mujeres,5-9
15722,2,10-14,59,mujeres,10-14
15722,2,15-19,46,mujeres,15-19
15722,2,20-24,27,mujeres,20-24
15722,2,25-29,27,mujeres,25-29
15722,2,30-34,27,mujeres,30-34
15722,2,35-39,37,mujeres,35-39
15722,2,40-44,20,mujeres,40-44
15722,2,45-49,21,mujeres,45-49
15722,2,50-54,20,mujeres,50-54
15722,2,55-59,22,mujeres,55-59
15722,2,60-64,11,mujeres,60-64
15722,2,65-69,12,mujeres,65-69
15722,2,70-74,4,mujeres,70-74
15722,2,75-79,7,mujeres,75-79
15722,2,80-84,3,mujeres,80-84
15722,2,85-89,4,mujeres,85-89
15722,2,90-94,0,mujeres,90-94
15722,2,+95,1,mujeres,+95
15723,1,0-4,5,varones,0-4
15723,1,5-9,22,varones,5-9
15723,1,10-14,21,varones,10-14
15723,1,15-19,13,varones,15-19
15723,1,20-24,10,varones,20-24
15723,1,25-29,11,varones,25-29
15723,1,30-34,12,varones,30-34
15723,1,35-39,7,varones,35-39
15723,1,40-44,10,varones,40-44
15723,1,45-49,11,varones,45-49
15723,1,50-54,8,varones,50-54
15723,1,55-59,7,varones,55-59
15723,1,60-64,6,varones,60-64
15723,1,65-69,8,varones,65-69
15723,1,70-74,4,varones,70-74
15723,1,75-79,1,varones,75-79
15723,1,80-84,1,varones,80-84
15723,1,85-89,1,varones,85-89
15723,1,90-94,1,varones,90-94
15723,1,+95,0,varones,+95
15723,2,0-4,5,mujeres,0-4
15723,2,5-9,19,mujeres,5-9
15723,2,10-14,16,mujeres,10-14
15723,2,15-19,11,mujeres,15-19
15723,2,20-24,6,mujeres,20-24
15723,2,25-29,8,mujeres,25-29
15723,2,30-34,12,mujeres,30-34
15723,2,35-39,11,mujeres,35-39
15723,2,40-44,14,mujeres,40-44
15723,2,45-49,7,mujeres,45-49
15723,2,50-54,10,mujeres,50-54
15723,2,55-59,6,mujeres,55-59
15723,2,60-64,4,mujeres,60-64
15723,2,65-69,2,mujeres,65-69
15723,2,70-74,3,mujeres,70-74
15723,2,75-79,1,mujeres,75-79
15723,2,80-84,1,mujeres,80-84
15723,2,85-89,1,mujeres,85-89
15723,2,90-94,0,mujeres,90-94
15723,2,+95,0,mujeres,+95
15821,1,0-4,31,varones,0-4
15821,1,5-9,42,varones,5-9
15821,1,10-14,34,varones,10-14
15821,1,15-19,32,varones,15-19
15821,1,20-24,13,varones,20-24
15821,1,25-29,21,varones,25-29
15821,1,30-34,22,varones,30-34
15821,1,35-39,14,varones,35-39
15821,1,40-44,3,varones,40-44
15821,1,45-49,11,varones,45-49
15821,1,50-54,16,varones,50-54
15821,1,55-59,7,varones,55-59
15821,1,60-64,9,varones,60-64
15821,1,65-69,5,varones,65-69
15821,1,70-74,5,varones,70-74
15821,1,75-79,1,varones,75-79
15821,1,80-84,3,varones,80-84
15821,1,85-89,1,varones,85-89
15821,1,90-94,0,varones,90-94
15821,1,+95,0,varones,+95
15821,2,0-4,27,mujeres,0-4
15821,2,5-9,37,mujeres,5-9
15821,2,10-14,37,mujeres,10-14
15821,2,15-19,36,mujeres,15-19
15821,2,20-24,15,mujeres,20-24
15821,2,25-29,24,mujeres,25-29
15821,2,30-34,17,mujeres,30-34
15821,2,35-39,20,mujeres,35-39
15821,2,40-44,12,mujeres,40-44
15821,2,45-49,10,mujeres,45-49
15821,2,50-54,9,mujeres,50-54
15821,2,55-59,8,mujeres,55-59
15821,2,60-64,6,mujeres,60-64
15821,2,65-69,9,mujeres,65-69
15821,2,70-74,2,mujeres,70-74
15821,2,75-79,4,mujeres,75-79
15821,2,80-84,0,mujeres,80-84
15821,2,85-89,1,mujeres,85-89
15821,2,90-94,0,mujeres,90-94
15821,2,+95,0,mujeres,+95
15822,1,0-4,13,varones,0-4
15822,1,5-9,21,varones,5-9
15822,1,10-14,14,varones,10-14
15822,1,15-19,23,varones,15-19
15822,1,20-24,10,varones,20-24
15822,1,25-29,11,varones,25-29
15822,1,30-34,7,varones,30-34
15822,1,35-39,15,varones,35-39
15822,1,40-44,6,varones,40-44
15822,1,45-49,13,varones,45-49
15822,1,50-54,9,varones,50-54
15822,1,55-59,6,varones,55-59
15822,1,60-64,10,varones,60-64
15822,1,65-69,4,varones,65-69
15822,1,70-74,5,varones,70-74
15822,1,75-79,3,varones,75-79
15822,1,80-84,1,varones,80-84
15822,1,85-89,0,varones,85-89
15822,1,90-94,0,varones,90-94
15822,1,+95,0,varones,+95
15822,2,0-4,14,mujeres,0-4
15822,2,5-9,17,mujeres,5-9
15822,2,10-14,20,mujeres,10-14
15822,2,15-19,27,mujeres,15-19
15822,2,20-24,10,mujeres,20-24
15822,2,25-29,11,mujeres,25-29
15822,2,30-34,10,mujeres,30-34
15822,2,35-39,10,mujeres,35-39
15822,2,40-44,8,mujeres,40-44
15822,2,45-49,15,mujeres,45-49
15822,2,50-54,7,mujeres,50-54
15822,2,55-59,5,mujeres,55-59
15822,2,60-64,6,mujeres,60-64
15822,2,65-69,1,mujeres,65-69
15822,2,70-74,7,mujeres,70-74
15822,2,75-79,1,mujeres,75-79
15822,2,80-84,4,mujeres,80-84
15822,2,85-89,1,mujeres,85-89
15822,2,90-94,0,mujeres,90-94
15822,2,+95,0,mujeres,+95
15823,1,0-4,4,varones,0-4
15823,1,5-9,12,varones,5-9
15823,1,10-14,18,varones,10-14
15823,1,15-19,14,varones,15-19
15823,1,20-24,7,varones,20-24
15823,1,25-29,5,varones,25-29
15823,1,30-34,5,varones,30-34
15823,1,35-39,5,varones,35-39
15823,1,40-44,6,varones,40-44
15823,1,45-49,7,varones,45-49
15823,1,50-54,7,varones,50-54
15823,1,55-59,6,varones,55-59
15823,1,60-64,4,varones,60-64
15823,1,65-69,3,varones,65-69
15823,1,70-74,4,varones,70-74
15823,1,75-79,1,varones,75-79
15823,1,80-84,0,varones,80-84
15823,1,85-89,0,varones,85-89
15823,1,90-94,0,varones,90-94
15823,1,+95,0,varones,+95
15823,2,0-4,8,mujeres,0-4
15823,2,5-9,7,mujeres,5-9
15823,2,10-14,17,mujeres,10-14
15823,2,15-19,19,mujeres,15-19
15823,2,20-24,2,mujeres,20-24
15823,2,25-29,5,mujeres,25-29
15823,2,30-34,9,mujeres,30-34
15823,2,35-39,5,mujeres,35-39
15823,2,40-44,6,mujeres,40-44
15823,2,45-49,8,mujeres,45-49
15823,2,50-54,6,mujeres,50-54
15823,2,55-59,1,mujeres,55-59
15823,2,60-64,3,mujeres,60-64
15823,2,65-69,4,mujeres,65-69
15823,2,70-74,1,mujeres,70-74
15823,2,75-79,2,mujeres,75-79
15823,2,80-84,1,mujeres,80-84
15823,2,85-89,0,mujeres,85-89
15823,2,90-94,0,mujeres,90-94
15823,2,+95,0,mujeres,+95
15824,1,0-4,0,varones,0-4
15824,1,5-9,4,varones,5-9
15824,1,10-14,7,varones,10-14
15824,1,15-19,5,varones,15-19
15824,1,20-24,1,varones,20-24
15824,1,25-29,0,varones,25-29
15824,1,30-34,0,varones,30-34
15824,1,35-39,3,varones,35-39
15824,1,40-44,1,varones,40-44
15824,1,45-49,1,varones,45-49
15824,1,50-54,1,varones,50-54
15824,1,55-59,0,varones,55-59
15824,1,60-64,1,varones,60-64
15824,1,65-69,0,varones,65-69
15824,1,70-74,0,varones,70-74
15824,1,75-79,0,varones,75-79
15824,1,80-84,0,varones,80-84
15824,1,85-89,0,varones,85-89
15824,1,90-94,0,varones,90-94
15824,1,+95,0,varones,+95
15824,2,0-4,1,mujeres,0-4
15824,2,5-9,0,mujeres,5-9
15824,2,10-14,0,mujeres,10-14
15824,2,15-19,5,mujeres,15-19
15824,2,20-24,0,mujeres,20-24
15824,2,25-29,0,mujeres,25-29
15824,2,30-34,2,mujeres,30-34
15824,2,35-39,2,mujeres,35-39
15824,2,40-44,1,mujeres,40-44
15824,2,45-49,3,mujeres,45-49
15824,2,50-54,0,mujeres,50-54
15824,2,55-59,1,mujeres,55-59
15824,2,60-64,0,mujeres,60-64
15824,2,65-69,0,mujeres,65-69
15824,2,70-74,0,mujeres,70-74
15824,2,75-79,0,mujeres,75-79
15824,2,80-84,0,mujeres,80-84
15824,2,85-89,0,mujeres,85-89
15824,2,90-94,0,mujeres,90-94
15824,2,+95,0,mujeres,+95
15825,1,0-4,4,varones,0-4
15825,1,5-9,8,varones,5-9
15825,1,10-14,11,varones,10-14
15825,1,15-19,6,varones,15-19
15825,1,20-24,3,varones,20-24
15825,1,25-29,2,varones,25-29
15825,1,30-34,5,varones,30-34
15825,1,35-39,7,varones,35-39
15825,1,40-44,5,varones,40-44
15825,1,45-49,3,varones,45-49
15825,1,50-54,2,varones,50-54
15825,1,55-59,1,varones,55-59
15825,1,60-64,3,varones,60-64
15825,1,65-69,2,varones,65-69
15825,1,70-74,5,varones,70-74
15825,1,75-79,3,varones,75-79
15825,1,80-84,2,varones,80-84
15825,1,85-89,0,varones,85-89
15825,1,90-94,0,varones,90-94
15825,1,+95,0,varones,+95
15825,2,0-4,5,mujeres,0-4
15825,2,5-9,8,mujeres,5-9
15825,2,10-14,6,mujeres,10-14
15825,2,15-19,6,mujeres,15-19
15825,2,20-24,3,mujeres,20-24
15825,2,25-29,2,mujeres,25-29
15825,2,30-34,7,mujeres,30-34
15825,2,35-39,6,mujeres,35-39
15825,2,40-44,3,mujeres,40-44
15825,2,45-49,2,mujeres,45-49
15825,2,50-54,2,mujeres,50-54
15825,2,55-59,5,mujeres,55-59
15825,2,60-64,5,mujeres,60-64
15825,2,65-69,2,mujeres,65-69
15825,2,70-74,2,mujeres,70-74
15825,2,75-79,1,mujeres,75-79
15825,2,80-84,1,mujeres,80-84
15825,2,85-89,0,mujeres,85-89
15825,2,90-94,0,mujeres,90-94
15825,2,+95,0,mujeres,+95
15827,1,0-4,10,varones,0-4
15827,1,5-9,16,varones,5-9
15827,1,10-14,12,varones,10-14
15827,1,15-19,13,varones,15-19
15827,1,20-24,7,varones,20-24
15827,1,25-29,12,varones,25-29
15827,1,30-34,15,varones,30-34
15827,1,35-39,9,varones,35-39
15827,1,40-44,14,varones,40-44
15827,1,45-49,5,varones,45-49
15827,1,50-54,12,varones,50-54
15827,1,55-59,7,varones,55-59
15827,1,60-64,14,varones,60-64
15827,1,65-69,12,varones,65-69
15827,1,70-74,5,varones,70-74
15827,1,75-79,5,varones,75-79
15827,1,80-84,2,varones,80-84
15827,1,85-89,0,varones,85-89
15827,1,90-94,0,varones,90-94
15827,1,+95,0,varones,+95
15827,2,0-4,10,mujeres,0-4
15827,2,5-9,16,mujeres,5-9
15827,2,10-14,10,mujeres,10-14
15827,2,15-19,16,mujeres,15-19
15827,2,20-24,7,mujeres,20-24
15827,2,25-29,4,mujeres,25-29
15827,2,30-34,19,mujeres,30-34
15827,2,35-39,18,mujeres,35-39
15827,2,40-44,9,mujeres,40-44
15827,2,45-49,12,mujeres,45-49
15827,2,50-54,13,mujeres,50-54
15827,2,55-59,11,mujeres,55-59
15827,2,60-64,17,mujeres,60-64
15827,2,65-69,5,mujeres,65-69
15827,2,70-74,7,mujeres,70-74
15827,2,75-79,6,mujeres,75-79
15827,2,80-84,3,mujeres,80-84
15827,2,85-89,2,mujeres,85-89
15827,2,90-94,1,mujeres,90-94
15827,2,+95,0,mujeres,+95
15828,1,0-4,4,varones,0-4
15828,1,5-9,7,varones,5-9
15828,1,10-14,2,varones,10-14
15828,1,15-19,6,varones,15-19
15828,1,20-24,5,varones,20-24
15828,1,25-29,1,varones,25-29
15828,1,30-34,4,varones,30-34
15828,1,35-39,4,varones,35-39
15828,1,40-44,1,varones,40-44
15828,1,45-49,2,varones,45-49
15828,1,50-54,2,varones,50-54
15828,1,55-59,2,varones,55-59
15828,1,60-64,4,varones,60-64
15828,1,65-69,1,varones,65-69
15828,1,70-74,1,varones,70-74
15828,1,75-79,1,varones,75-79
15828,1,80-84,0,varones,80-84
15828,1,85-89,1,varones,85-89
15828,1,90-94,0,varones,90-94
15828,1,+95,0,varones,+95
15828,2,0-4,2,mujeres,0-4
15828,2,5-9,4,mujeres,5-9
15828,2,10-14,5,mujeres,10-14
15828,2,15-19,5,mujeres,15-19
15828,2,20-24,2,mujeres,20-24
15828,2,25-29,2,mujeres,25-29
15828,2,30-34,6,mujeres,30-34
15828,2,35-39,2,mujeres,35-39
15828,2,40-44,2,mujeres,40-44
15828,2,45-49,1,mujeres,45-49
15828,2,50-54,3,mujeres,50-54
15828,2,55-59,2,mujeres,55-59
15828,2,60-64,1,mujeres,60-64
15828,2,65-69,1,mujeres,65-69
15828,2,70-74,1,mujeres,70-74
15828,2,75-79,1,mujeres,75-79
15828,2,80-84,0,mujeres,80-84
15828,2,85-89,0,mujeres,85-89
15828,2,90-94,0,mujeres,90-94
15828,2,+95,0,mujeres,+95
15829,1,0-4,3,varones,0-4
15829,1,5-9,3,varones,5-9
15829,1,10-14,5,varones,10-14
15829,1,15-19,4,varones,15-19
15829,1,20-24,3,varones,20-24
15829,1,25-29,1,varones,25-29
15829,1,30-34,0,varones,30-34
15829,1,35-39,0,varones,35-39
15829,1,40-44,0,varones,40-44
15829,1,45-49,3,varones,45-49
15829,1,50-54,2,varones,50-54
15829,1,55-59,3,varones,55-59
15829,1,60-64,1,varones,60-64
15829,1,65-69,1,varones,65-69
15829,1,70-74,1,varones,70-74
15829,1,75-79,2,varones,75-79
15829,1,80-84,0,varones,80-84
15829,1,85-89,0,varones,85-89
15829,1,90-94,1,varones,90-94
15829,1,+95,0,varones,+95
15829,2,0-4,1,mujeres,0-4
15829,2,5-9,1,mujeres,5-9
15829,2,10-14,2,mujeres,10-14
15829,2,15-19,5,mujeres,15-19
15829,2,20-24,2,mujeres,20-24
15829,2,25-29,2,mujeres,25-29
15829,2,30-34,0,mujeres,30-34
15829,2,35-39,1,mujeres,35-39
15829,2,40-44,2,mujeres,40-44
15829,2,45-49,1,mujeres,45-49
15829,2,50-54,3,mujeres,50-54
15829,2,55-59,1,mujeres,55-59
15829,2,60-64,0,mujeres,60-64
15829,2,65-69,0,mujeres,65-69
15829,2,70-74,0,mujeres,70-74
15829,2,75-79,0,mujeres,75-79
15829,2,80-84,0,mujeres,80-84
15829,2,85-89,0,mujeres,85-89
15829,2,90-94,0,mujeres,90-94
15829,2,+95,0,mujeres,+95
15830,1,0-4,2,varones,0-4
15830,1,5-9,4,varones,5-9
15830,1,10-14,10,varones,10-14
15830,1,15-19,4,varones,15-19
15830,1,20-24,2,varones,20-24
15830,1,25-29,1,varones,25-29
15830,1,30-34,3,varones,30-34
15830,1,35-39,1,varones,35-39
15830,1,40-44,2,varones,40-44
15830,1,45-49,4,varones,45-49
15830,1,50-54,0,varones,50-54
15830,1,55-59,1,varones,55-59
15830,1,60-64,0,varones,60-64
15830,1,65-69,1,varones,65-69
15830,1,70-74,0,varones,70-74
15830,1,75-79,0,varones,75-79
15830,1,80-84,0,varones,80-84
15830,1,85-89,0,varones,85-89
15830,1,90-94,0,varones,90-94
15830,1,+95,0,varones,+95
15830,2,0-4,3,mujeres,0-4
15830,2,5-9,4,mujeres,5-9
15830,2,10-14,4,mujeres,10-14
15830,2,15-19,0,mujeres,15-19
15830,2,20-24,6,mujeres,20-24
15830,2,25-29,1,mujeres,25-29
15830,2,30-34,2,mujeres,30-34
15830,2,35-39,0,mujeres,35-39
15830,2,40-44,5,mujeres,40-44
15830,2,45-49,3,mujeres,45-49
15830,2,50-54,2,mujeres,50-54
15830,2,55-59,0,mujeres,55-59
15830,2,60-64,1,mujeres,60-64
15830,2,65-69,1,mujeres,65-69
15830,2,70-74,0,mujeres,70-74
15830,2,75-79,0,mujeres,75-79
15830,2,80-84,0,mujeres,80-84
15830,2,85-89,0,mujeres,85-89
15830,2,90-94,0,mujeres,90-94
15830,2,+95,0,mujeres,+95
15831,1,0-4,7,varones,0-4
15831,1,5-9,5,varones,5-9
15831,1,10-14,12,varones,10-14
15831,1,15-19,12,varones,15-19
15831,1,20-24,11,varones,20-24
15831,1,25-29,10,varones,25-29
15831,1,30-34,3,varones,30-34
15831,1,35-39,8,varones,35-39
15831,1,40-44,5,varones,40-44
15831,1,45-49,9,varones,45-49
15831,1,50-54,11,varones,50-54
15831,1,55-59,4,varones,55-59
15831,1,60-64,6,varones,60-64
15831,1,65-69,7,varones,65-69
